iso3166_country,GID_0_gadm,NAME_0_gadm,GID_1_gadm,GID_1_edits,NAME_1_gadm,VARNAME_1_gadm,NL_NAME_1_gadm,TYPE_1_gadm,ENGTYPE_1_gadm,CC_1_gadm,HASC_1_gadm,region_polygoncluster,polygoncluster_name,project_ifnodata,project_ifconstructed,regionname_ISOenglish,regionname_alt,regionname_nativescript,regioncode,system,Notes1,Notes2,Notes3,mean.scl.regional_2002-03,mean.scl.regional_2004-05,mean.scl.regional_2006-07,mean.scl.regional_2008-09,mean.scl.regional_2010-11,mean.scl.regional_2012-13,mean.scl.regional_2014-15,mean.scl.regional_2016-17,mean.scl.regional_2018-19,mean.scl.regional_2020-21,mean.scl.regional_2022-23,mean.scl.national_2002-03,mean.scl.national_2004-05,mean.scl.national_2006-07,mean.scl.national_2008-09,mean.scl.national_2010-11,mean.scl.national_2012-13,mean.scl.national_2014-15,mean.scl.national_2016-17,mean.scl.national_2018-19,mean.scl.national_2020-21,mean.scl.national_2022-23
AD,AND,Andorra,AND.1_1,AND.1_1,Andorra la Vella,NA,Andorra la Vella,Parr√≤quia,Parish,NA,AD.AN,nat,Andorra,NA,NA,Andorra la Vella,NA,Andorra la Vella,AD-07,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AD,AND,Andorra,AND.2_1,AND.2_1,Canillo,NA,Canillo,Parr√≤quia,Parish,NA,AD.CA,nat,Andorra,NA,NA,Canillo,NA,Canillo,AD-02,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AD,AND,Andorra,AND.3_1,AND.3_1,Encamp,NA,Encamp,Parr√≤quia,Parish,NA,AD.EN,nat,Andorra,NA,NA,Encamp,NA,Encamp,AD-03,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AD,AND,Andorra,AND.4_1,AND.4_1,Escaldes-Engordany,NA,Escaldes-Engordany,Parr√≤quia,Parish,NA,AD.EE,nat,Andorra,NA,NA,Escaldes-Engordany,NA,Escaldes-Engordany,AD-08,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AD,AND,Andorra,AND.5_1,AND.5_1,La Massana,NA,La Massana,Parr√≤quia,Parish,NA,AD.MA,nat,Andorra,NA,NA,La Massana,NA,La Massana,AD-04,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AD,AND,Andorra,AND.6_1,AND.6_1,Ordino,NA,Ordino,Parr√≤quia,Parish,NA,AD.OR,nat,Andorra,NA,NA,Ordino,NA,Ordino,AD-05,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AD,AND,Andorra,AND.7_1,AND.7_1,Sant Juli√† de L√≤ria,NA,Sant Juli√† de L√≤ria,Parr√≤quia,Parish,NA,AD.JL,nat,Andorra,NA,NA,Sant Julià de Lòria,NA,Sant Julià de Lòria,AD-06,iso3166-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4247262734043411,0.43512426213994176,0.4514671417599928,0.4658621617622552,0.46861066516897876,0.470029421471513,0.4712011886718352,0.47039736248007147,0.47224806375985756,0.47382969122502466,0.47154438589936876
AE,ARE,United Arab Emirates,ARE.2_1,ARE.2_1,Ajman,NA,Ajman,Emirate,Emirate,NA,AE.AJ,NA,NA,NA,NA,‘Ajmān,NA,إمارة عجمانّ,AE-AJ,iso3166-2,NA,NA,NA,0.378929395903172,0.3861643896464262,0.3929950216987446,0.39769393089404526,0.5469251519294553,0.48941233610069845,0.4335880708120677,0.37649172802298414,0.318356160025127,0.38080974270315715,0.560118489438247,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.1_1,ARE.1_1,Abu Dhabi,NA,Abu Dhabi,Emirate,Emirate,NA,AE.AZ,NA,NA,NA,NA,Abū Z̧aby,Abu Dhabi,أبو ظبي,AE-AZ,iso3166-2,NA,NA,NA,0.407072099771892,0.4149397380573184,0.42321441075550076,0.43089311787415546,0.5451482710975053,0.48650908940867216,0.4322740720260649,0.3748718846857742,0.31681124022572515,0.41978906567671403,0.6032046373590704,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.4_1,ARE.4_1,Fujairah,NA,Fujairah,Emirate,Emirate,NA,AE.FU,NA,NA,NA,NA,Al Fujayrah,Fujairah,الفجيرة,AE-FU,iso3166-2,NA,NA,NA,0.4184928471846907,0.4275836502337579,0.4376813448913043,0.44709444249657576,0.542078465505236,0.4865591100876337,0.4339215999680042,0.3795038785351759,0.32457012590307366,0.40716422009017167,0.5778020166790215,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.6_1,ARE.6_1,Sharjah,NA,Sharjah,Emirate,Emirate,NA,AE.SH,NA,NA,NA,NA,Ash Shāriqah,Sharjah,إمارة الشارقةّ,AE-SH,iso3166-2,NA,NA,NA,0.4175281367503837,0.42636976076457767,0.4350945271722917,0.4438967767147339,0.5633672515472272,0.5147480197382963,0.4718539940506869,0.4244863680562484,0.3779175489530163,0.42239094032891367,0.6044178022008715,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.3_1,ARE.3_1,Dubai,NA,Dubai,Emirate,Emirate,NA,AE.DU,NA,NA,NA,NA,Dubayy,Dubai,دبي,AE-DU,iso3166-2,NA,NA,NA,0.39660395714009283,0.40362661037330183,0.41010150297832904,0.41673078742874275,0.5318620832969004,0.49094841541019807,0.4521428431462359,0.41029575027173315,0.36944460153562836,0.479274957948234,0.6099465089673627,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.5_1,ARE.5_1,Ras Al-Khaimah,NA,Ras Al-Khaimah,Emirate,Emirate,NA,AE.RK,NA,NA,NA,NA,Ra’s al Khaymah,Ras Al Khaimah,إمارة رأس الخيمة,AE-RK,iso3166-2,NA,NA,NA,0.3100972302246771,0.30767894850370936,0.3045768116071955,0.30174955267434306,0.4706664352681346,0.4171432754820517,0.3679975820233225,0.315182714974224,0.26256653508056194,0.3329664746513759,0.5072104156005997,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AE,ARE,United Arab Emirates,ARE.7_1,ARE.7_1,Umm al-Qaywayn,NA,Umm al-Qaywayn,Emirate,Emirate,NA,AE.UQ,NA,NA,NA,NA,Umm al Qaywayn,Umm Al Quwain,أمّ القيوين,AE-UQ,iso3166-2,NA,NA,NA,0.40841153431994787,0.4172958644037907,0.42564721505780345,0.4333924166626952,0.5561693193843964,0.4950318820447025,0.43591217754450057,0.37537131170994925,0.31306297294734137,0.37705190035127567,0.5368383512597097,0.3188067779128774,0.32800342777190056,0.3370118665440909,0.3457814425384104,0.4940071566634983,0.4326890814473066,0.37589337764685293,0.3149925019778362,0.25448898064667475,0.3647194037411277,0.5660606704047402
AF,AFG,Afghanistan,AFG.1_1,AFG.1_1,Badakhshan,Badah≈°an,Badakhshan,Velayat,Province,NA,AF.BD,NA,NA,NA,NA,Badakhshān,Badakhshan,ولایت بدخشان,AF-BDS,iso3166-2,NA,NA,NA,0.41296612793937504,0.42169051370018956,0.42449774454953654,0.4275542481912736,0.5575356329240497,0.5425901270837947,0.5246031842603003,0.5067892981509828,0.49036013181200616,0.47085692413927066,0.4707966621497116,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.2_1,AFG.2_1,Badghis,Badghes|Badghisat|Badgis,Badghis,Velayat,Province,NA,AF.BG,NA,NA,NA,NA,Bādghīs,Badghis,بادغیس,AF-BDG,iso3166-2,NA,NA,NA,0.3708612045735304,0.37550892666986757,0.374795499756471,0.3751605654887098,0.5296871461574091,0.5330402426690232,0.5350144485147071,0.536550155259383,0.5395953347457995,0.5389197276713468,0.5401042299102877,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.3_1,AFG.3_1,Baghlan,Baglan|Bughlan,Baghlan,Velayat,Province,NA,AF.BL,NA,NA,NA,NA,Baghlān,Baghlan,بغلان,AF-BGL,iso3166-2,NA,NA,NA,0.38742002630281647,0.3960871009399408,0.3976716547415752,0.4003672272189293,0.5813493867275654,0.5548345278226238,0.5270886718437076,0.4994435662864167,0.47325139560010554,0.45404378735088147,0.4552370140598295,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.4_1,AFG.4_1,Balkh,Balh|Mazar-i-Sharif|Mazar,Balkh,Velayat,Province,NA,AF.BK,NA,NA,NA,NA,Balkh,Balkh,بلخ,AF-BAL,iso3166-2,NA,NA,NA,0.38188971871049293,0.38736172600199903,0.3871654325010546,0.3886113189561836,0.573549186734706,0.5631109733884392,0.552519999922382,0.5418392136103456,0.532516560312241,0.5159103864775152,0.5160370755607392,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.5_1,AFG.5_1,Bamyan,NA,Bamyan,Velayat,Province,NA,AF.BM,NA,NA,NA,NA,Bāmyān,Bamyan,بامیان,AF-BAM,iso3166-2,NA,NA,NA,0.41873800177361187,0.4305602275935674,0.43615948536930393,0.44275187237316643,0.5841672272270972,0.5722478402119103,0.557901540839681,0.5470376510441067,0.5372751627006673,0.5224196888920515,0.5232637361499172,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.6_1,AFG.6_1,Daykundi,NA,Daykundi,Velayat,Province,NA,AF.DK,NA,NA,NA,NA,Dāykundī,Daykundi,دایکندی,AF-DAY,iso3166-2,NA,NA,NA,0.5439264247843517,0.569800056763438,0.5881322776838745,0.6086429425922469,0.7684735170164001,0.7749422123523482,0.7809743539552133,0.7878409084610876,0.7979407610786305,0.8016499591080426,0.8023799648805394,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.7_1,AFG.7_1,Farah,NA,Farah,Velayat,Province,NA,AF.FH,NA,NA,NA,NA,Farāh,Farah,فراه,AF-FRA,iso3166-2,NA,NA,NA,0.35668406830290367,0.3615735777263451,0.3597432762910331,0.3581948138869412,0.4992317499527992,0.48905438791012495,0.4777861747037707,0.46706334452149306,0.4570555392509901,0.4430081927516431,0.4441952530785542,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.8_1,AFG.8_1,Faryab,Fariab|Maimana|Meymaneh,Faryab,Velayat,Province,NA,AF.FB,NA,NA,NA,NA,Fāryāb,Faryab,فاریاب,AF-FYB,iso3166-2,NA,NA,NA,0.39771028757635246,0.4058099992942093,0.4083342416842854,0.4118416240867667,0.5538525117791118,0.5462339830029359,0.5362648222404971,0.5260792386330603,0.517490270413756,0.5131985464160875,0.5134415055393738,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
AF,AFG,Afghanistan,AFG.9_1,AFG.9_1,Ghazni,Gazni,Ghazni,Velayat,Province,NA,AF.GZ,NA,NA,NA,NA,Ghaznī,Ghazni,غزنى,AF-GHA,iso3166-2,NA,NA,NA,0.35505570852213797,0.3603518754473352,0.35906968126071676,0.3574779047167651,0.4706512733597121,0.47669697283302237,0.4791819662619173,0.4831098205469233,0.48945160618806133,0.4629167781358366,0.46359227234345,0.29207190039368547,0.3004080700750296,0.30099289943848023,0.3026375444757888,0.4807922740350872,0.4650514524137893,0.4477530689267992,0.43094920152101995,0.41639349149055793,0.4030865781459172,0.4046391055667781
